StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q2,Q3,Q3_7_TEXT,Q4_1,Q5,Q6,Q7,Q7_7_TEXT,Q8,Q9_1,Q10_1,Q17,Q11,Q12,Q13_1,Q15,Q14,Q14_1_TEXT,Q14_2_TEXT,Q16,Q16_3_TEXT,Q_DataPolicyViolations
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"Have you visited the InScribe CU Boulder Data Science Community (reading posts, responding, etc.)?","If no, why not? (select all that apply) - Selected Choice","If no, why not? (select all that apply) - Other - Text","If yes, how helpful were the resources and posts that you viewed on a scale of 1-10 (1 = not helpful, 10 = extremely helpful)? - Helpfulness of content","Typically, how often do you visit InScribe?",Have you asked a question(s) in the InScribe CU Boulder Data Science Community?,"If no, why not? (select all that apply) - Selected Choice","If no, why not? (select all that apply) - Other - Text","If yes, did someone answer your question and was the answer useful?","How comfortable are you asking questions in a community that includes fellow students from other course sections from a scale of 1=10 (1= not comfortable, 10=comfortable)? - Comfort level","How likely are you to answer another student’s question if you know the answer from a scale of 1=10 (1= not likely, 10=likely)? - Likeliness",What do you like about InScribe?,How could we improve the content or process in the InScribe CU Boulder Data Science Community in the learning community?,Do you have any other thoughts or feedback about the InScribe CU Boulder Data Science Community?,"Would you recommend the InScribe CU Boulder Data Science Community to a friend on a scale from 1-10 (1 = would not recommend, 10 = would highly recommend)? - Liklihood of recommending InScribe",Choose the option that best describes you:,"Prior to InScribe, we used Slack. If you were a Slack user, do you prefer Slack or InScribe and why? - Selected Choice","Prior to InScribe, we used Slack. If you were a Slack user, do you prefer Slack or InScribe and why? - I prefer Slack because... - Text","Prior to InScribe, we used Slack. If you were a Slack user, do you prefer Slack or InScribe and why? - I prefer InScribe because... - Text","As a non-DS student, do you wish your home program would implement InScribe into your main program courses? - Selected Choice","As a non-DS student, do you wish your home program would implement InScribe into your main program courses? - Other - Text",Q_DataPolicyViolations
1/12/2026 20:37,1/12/2026 20:42,IP Address,202.73.1.111,100,280,True,1/12/2026 20:42,R_4mLsuIgOEBZxhpg,,,,,22.2578,114.1657,anonymous,EN,Yes,,,4,Once a day,No,"I didn't need help,Other","It is the first day of launch (13 Jan 2026), it is too early for Inscribe to accumulate useful knowledge from posts.",,8,9,,,,9,,I prefer Slack because...,"It is first day of InScribe launch, not enough information has accumulate in Inscribe",,,,
1/13/2026 9:25,1/13/2026 9:27,IP Address,207.66.85.35,100,122,True,1/13/2026 9:27,R_6dFwCCuYc060Y5l,,,,,35.2578,-96.9367,anonymous,EN,Yes,,,,A few times a week,No,I didn't need help,,,10,6,,"Currently it is unhelpful as there are not many students on it yet, once there are more students then a more thoroughout review can be given to help improve it.",I can't compare it to slack as I have never been able to log into slack... it never worked for me,6,,,,,,,
1/13/2026 22:24,1/13/2026 22:28,IP Address,66.219.198.246,100,235,True,1/13/2026 22:28,R_6nUSU3603wwb1cC,,,,,40.1792,-111.5359,anonymous,EN,Yes,,,5,A few times a week,No,Other,"It is still new and there is no much to see, but i have posted something",,10,10,,Nothing to add yet,it could be good to create some archive section and import the channel chats that we had in slack so we can rely on that info as InScribe is barely new,10,,I prefer InScribe because...,,It is newer but I still need to use more InScribe so I can give you a more reliable answer,,,
1/15/2026 4:50,1/15/2026 4:52,IP Address,24.1.252.18,100,103,True,1/15/2026 4:52,R_62EUD4wdwaaOs8Z,,,,,41.8732,-88.0002,anonymous,EN,Yes,,,6,Once a month,No,I wasn't sure how to use it,,,7,9,,upload past answers from slack,,6,,I prefer Slack because...,had more existing content,,,,
1/15/2026 9:14,1/15/2026 9:15,IP Address,208.127.126.230,100,46,True,1/15/2026 9:15,R_8X93Nz83KkOymf7,,,,,47.3643,8.5437,anonymous,EN,No,Other,I already completed most of the course before I had access.,,,,,,,,,,,,,,,,,,,
1/15/2026 15:00,1/15/2026 15:00,IP Address,97.245.237.26,100,34,True,1/15/2026 15:00,R_5K9GzL2iNPQkUSD,,,,,39.8661,-104.9197,anonymous,EN,No,I didn't need help,,,,,,,,,,,,,,,I prefer Slack because...,I'm familiar with it since I use it for work,,,,
1/16/2026 11:38,1/16/2026 11:40,IP Address,172.226.87.44,100,117,True,1/16/2026 11:40,R_32PVe9SilJWnUQe,,,,,39.0469,-77.4903,anonymous,EN,No,"I didn't need help,I wasn't sure how to use it",,,,,,,,,,,I am taking this course as an outside elective from MSCS so it was a little unclear what InScribe versus slack was for Data Science.,NA,5,,I prefer Slack because...,More consistent experience with other CU programs,,,,
1/20/2026 11:23,1/20/2026 11:24,IP Address,205.251.233.107,100,76,True,1/20/2026 11:24,R_7QEEsaThHCD6aMr,,,,,45.8401,-119.705,anonymous,EN,Yes,,,4,A couple of times per month,No,"I wasn't sure how to use it,I didn't have time",,,3,5,,,,,,,,,,,
1/20/2026 12:48,1/20/2026 12:51,IP Address,98.50.2.96,100,167,True,1/20/2026 12:51,R_5Lunra0RQXbC6Cy,,,,,39.4817,-106.0383,anonymous,EN,No,I didn't need help,,,,,,,,,,,I do not know I have not used it yet.,I really liked Slack as it continued to be relevant after school as many companies use it. I think Mattermost would have been cool to being similar to slack but OpenSource,5,,I prefer Slack because...,Relevent to companies after school,,,,
